[2019-01-25 00:12:12] - 
[2019-01-25 06:49:16] - http://tdvm2.nammauthan1968.asoca.vn/?mkt=1010&src=LDP.FB.VG08_1010_05.01
[2019-01-25 07:19:29] - http://pbmkyhoi1959.asoca.vn/?mkt=1010&src=LDP.FB.VG09_1010_17.01_HT.PBM
[2019-01-25 07:22:45] - http://vanmenh.binhngo1966.asoca.vn/?mkt=1612&src=LDP.FB.VG12_vihoan_08.01GS
[2019-01-25 07:25:37] - http://vanmenh.mautuat1958.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12&fbclid=IwAR0mN0336xCyoKajDybHvg2vGAjcGIVly0QCBnYjKCtZ_eIhMP4J_FqPJtY
[2019-01-25 07:25:53] - http://pbmgiapdan1974.asoca.vn/?mkt=1525&src=LDP.FB.VG05_pbmall_11.01
[2019-01-25 07:26:22] - http://vanmenhcuocdoidinhty.asoca.vn/?mkt=1678&src=LDP.FB.VG11_vongtay
[2019-01-25 07:28:59] - http://vonggo.nam1973.asoca.vn/?mkt=1911&src=LDP.FB.VG22_vonggo_24.1
[2019-01-25 07:31:24] - http://pbmatmao1975.asoca.vn/?mkt=1010&src=LDP.FB.VG09_1010_17.01_HT.PBM
[2019-01-25 07:54:34] - http://tdvm2.namcanhthan1980.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 08:03:37] - http://vanmenh.kyhoi1959.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 08:04:01] - http://vanmenh.kyhoi1959.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 08:06:07] - http://vanmenh.kyhoi1959.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 08:13:51] - http://vanmenh.kymui1979.asoca.vn/?mkt=1167&src=LDP.FB.vg07.1712.anh12
[2019-01-25 08:17:31] - http://vonggo.nam1984.asoca.vn/?mkt=1911&src=LDP.FB.AGENCYT_vonggo_12.1
[2019-01-25 08:18:49] - http://tdvm2.namkydau1969.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 08:20:03] - http://pbmbinhthin1976.asoca.vn/?mkt=1167&src=LDP.FB.vg02.03012019.tep08
[2019-01-25 08:20:36] - http://vanmenh.dinhdau1957.asoca.vn/?mkt=1612&src=LDP.FB.VG12_vihoan_12.12
[2019-01-25 08:31:09] - http://vanmenh.tansuu1961.asoca.vn/?mkt=1612&src=LDP.FB.VG12_vihoan_12.12
[2019-01-25 08:32:50] - http://vanmenh.mautuat1958.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 08:37:25] - http://pbmmautuat1958.asoca.vn/?mkt=1010&src=LDP.FB.VG09_1010_17.01_HT.PBM
[2019-01-25 08:39:00] - http://pbmmautuat1958.asoca.vn/?mkt=1010&src=LDP.FB.VG09_1010_17.01_HT.PBM
[2019-01-25 08:43:31] - http://vanmenh.mauthan1968.asoca.vn/?mkt=1612&src=LDP.FB.VG12_vihoan_08.01GS
[2019-01-25 08:44:27] - http://vanmenh.canhtuat1970.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 08:49:52] - http://vanmenh.canhty1960.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 08:50:18] - http://vanmenh.canhty1960.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 08:59:26] - http://pbmatsuu1985.asoca.vn/?mkt=1568&src=LDP.FB.VG13_1568_17.01_PBM
[2019-01-25 08:59:42] - http://pbmatmao1975.asoca.vn/?mkt=1911&src=LDP.FB.AGENCYT_PBM_19.1
[2019-01-25 09:02:37] - http://pbmtandau1981.asoca.vn/?mkt=1525&src=LDP.FB.VG05_pbmall_11.01
[2019-01-25 09:05:14] - http://pbmcanhthan1980.asoca.vn/?mkt=1612&src=LDP.FB.VG24_haonvi1612_21.01pbm&fbclid=IwAR1foPx74rN40w42U4OGDt-Uo2pDZNhPUEU7zneR0SVBK6AgGU_t4Goiq2w
[2019-01-25 09:07:38] - http://tdvm4.giapthin1964.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 09:07:59] - http://pbmmaungo1978.asoca.vn/?mkt=1010&src=LDP.FB.VG09_1010_17.01_HT.PBM
[2019-01-25 09:08:02] - http://vanmenh.giapthin1964.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 09:11:10] - http://vanmenh.quymao1963.asoca.vn/?mkt=1612&src=LDP.FB.VG12_vihoan_12.12
[2019-01-25 09:12:14] - http://vanmenh.binhngo1966.asoca.vn/?mkt=1612&src=LDP.FB.VG12_vihoan_12.12
[2019-01-25 09:12:23] - http://tdvm2.namcanhtuat1970.asoca.vn/?mkt=1167&src=LDP.FB.vg02.03012019.tep08
[2019-01-25 09:19:17] - http://vanmenh.giapthin1964.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12&fbclid=IwAR3cI627e2pUMb7FgjjE5Q36nJ3B1xqyVZY1zJxHBrMGGME1bvtC_L6OkTk
[2019-01-25 09:21:21] - http://pbmtanhoi1971.asoca.vn/?mkt=1568&src=LDP.FB.VG03_1568_12.01_PBM
[2019-01-25 09:22:32] - http://pbmbinhdan1986.asoca.vn/?mkt=1612&src=LDP.FB.VG24_haonvi1612_21.01pbm&fbclid=IwAR39LrZWqhAsYwGo_HwifECa1vQG5veIPISBJJQxUWSBCrxC3Id8b_73EfY
[2019-01-25 09:25:23] - http://pbmquyhoi1983.asoca.vn/?mkt=1167&src=LDP.FB.vg02.03012019.tep08
[2019-01-25 09:26:45] - http://vanmenh.atty1965.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 09:34:14] - http://vanmenh.nhamtuat1982.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 09:34:36] - http://pbmnhamdan1962.asoca.vn/?mkt=1612&src=LDP.FB.VG24_haonvi1612_21.01pbm
[2019-01-25 09:36:37] - http://vanmenh.mauthan1968.asoca.vn/?mkt=1612&src=LDP.FB.VG12_vihoan_12.12
[2019-01-25 09:40:07] - http://vanmenh.binhthan1956.asoca.vn/?mkt=1678&src=LDP.FB.VG11_vongtay
[2019-01-25 09:49:32] - http://pbmdinhmui1967.asoca.vn/?mkt=1612&src=LDP.FB.VG24_haonvi1612_23.01pbm&fbclid=IwAR2DeTkarez_kOYt7cL6-HuaziYN_3OUzzIEyIl0cxvvICUVGzeJpAJOBKw
[2019-01-25 09:51:05] - http://pbmcanhtuat1970.asoca.vn/?mkt=1525&src=LDP.FB.VG05_pbmall_11.01
[2019-01-25 09:55:15] - http://tdvm4.mauthan1968.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 09:55:29] - http://vanmenh.binhngo1966.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_13.1&fbclid=IwAR26rf3C7SVNFktEn_9DUEEc-7YD1vKqm-bAOqOSk53Twbb_Ot32oVwWfvc
[2019-01-25 10:13:46] - http://vanmenh.canhty1960.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_13.1
[2019-01-25 10:30:54] - http://vanmenh.canhthan1980.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 10:36:18] - http://vanmenh.kymui1979.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 10:38:26] - http://tdvm2.namkydau1969.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 10:40:18] - http://tdvm2.namdinhdau1957.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 10:43:13] - http://vanmenh.giapthin1964.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 10:47:57] - http://tdvm2.namcanhtuat1970.asoca.vn/?mkt=1167&src=LDP.FB.vg02.03012019.tep08
[2019-01-25 10:48:40] - http://tdvm2.nambinhthan1956.asoca.vn/?mkt=1568&src=LDP.FB.VG03_1568_03.01
[2019-01-25 10:49:19] - http://vanmenh.binhngo1966.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_13.1
[2019-01-25 10:55:08] - http://tdvm4.giapthin1964.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 10:55:10] - http://pbmkydau1969.asoca.vn/?mkt=1525&src=LDP.FB.VG05_pbmall_11.01
[2019-01-25 11:02:19] - http://tdvm4.canhtuat1970.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 11:02:54] - http://tdvm4.canhtuat1970.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 11:03:22] - http://tdvm4.canhtuat1970.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 11:07:06] - http://tdvm4.canhtuat1970.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 11:08:22] - http://vanmenh.tanhoi1971.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 11:11:43] - http://tdvm4.canhtuat1970.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 11:14:22] - http://vanmenh.dinhmui1967.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 11:28:58] - http://pbmdinhty1977.asoca.vn/?mkt=1678&src=LDP.FB.VG23_pbmall
[2019-01-25 11:29:06] - http://pbmdinhty1977.asoca.vn/?mkt=1678&src=LDP.FB.VG23_pbmall
[2019-01-25 11:31:01] - http://pbmnhamty1972.asoca.vn/?mkt=1678&src=LDP.FB.VG23_pbmall&fbclid=IwAR0tRfW71XWQV6Djfg3etjva9HQ0VTNM3HVkAP8UpZYzuhyIurpjjzbv6W4
[2019-01-25 11:37:51] - http://tdvm2.namkydau1969.asoca.vn/?mkt=1911&src=LDP.FB.VG22_vonggo_24.1
[2019-01-25 11:41:45] - http://vanmenh.nhamtuat1982.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 11:48:39] - http://pbmtandau1981.asoca.vn/?mkt=1612&src=LDP.FB.VG24_haonvi1612_23.01pbm
[2019-01-25 11:52:44] - http://vanmenh.kyhoi1959.asoca.vn/?mkt=1612&src=LDP.FB.VG12_vihoan_12.12
[2019-01-25 11:56:00] - http://vonggo.nam1984.asoca.vn/?mkt=1911&src=LDP.FB.AGENCYT_vonggo_12.1
[2019-01-25 12:01:31] - http://pbmquyhoi1983.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_3.1pbm
[2019-01-25 12:19:19] - http://pbmbinhthin1976.asoca.vn/?mkt=1010&src=LDP.FB.VG09_1010_17.01_HT.PBM
[2019-01-25 12:21:15] - http://tdvm2.namdinhty1977.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 12:26:39] - http://vanmenh.atty1965.asoca.vn/?mkt=1612&src=LDP.FB.VG12_vihoan_12.12
[2019-01-25 12:52:54] - http://pbmatmao1975.asoca.vn/?mkt=1010&src=LDP.FB.VG08_1010_14.01_PBM
[2019-01-25 12:59:52] - http://vthcanhthan1980.asoca.vn/
[2019-01-25 13:18:41] - http://pbmnhamtuat1982.asoca.vn/?mkt=1911&src=LDP.FB.AGENCYT_PBM_14.1
[2019-01-25 14:05:58] - http://vonggo.nam1976.asoca.vn/?mkt=1911&src=LDP.FB.AGENCYT_vonggo_22.1
[2019-01-25 14:07:07] - http://tdvm2.namgiapthin1964.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 14:13:03] - http://tdvm2.namkydau1969.asoca.vn/?mkt=1911&src=LDP.FB.AGENCYT_vonggo_14.1
[2019-01-25 14:48:12] - http://pbmmaungo1978.asoca.vn/?mkt=1612&src=LDP.FB.VG24_haonvi1612_23.01pbm
[2019-01-25 14:57:21] - http://vonggo.nam1989.asoca.vn/?mkt=1911&src=LDP.FB.AGENCYT_vonggo_15.1
[2019-01-25 15:17:18] - http://pbmdinhdau1957.asoca.vn/?mkt=1525&src=LDP.FB.VG05_pbmall_11.01
[2019-01-25 15:33:20] - http://pbmkymui1979.asoca.vn/?mkt=1911&src=LDP.FB.AGENCYT_PBM_14.1
[2019-01-25 15:58:13] - http://tdvm2.nammauthan1968.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 16:20:04] - http://pbmquymao1963.asoca.vn/?mkt=1525&src=LDP.FB.VG05_pbmall_11.01
[2019-01-25 16:49:58] - http://pbmbinhdan1986.asoca.vn/?mkt=1525&src=LDP.FB.VG05_pbmall_11.01
[2019-01-25 17:06:11] - https://www.facebook.com/
[2019-01-25 17:50:08] - http://pbmnhamty1972.asoca.vn/?mkt=1525&src=LDP.FB.VG05_pbmall_11.01
[2019-01-25 18:06:27] - http://pbmgiapthin1964.asoca.vn/?mkt=1525&src=LDP.FB.VG05_pbmall_11.01
[2019-01-25 18:42:05] - http://pbmbinhthan1956.asoca.vn/?mkt=1525&src=LDP.FB.VG05_pbmall_11.01
[2019-01-25 20:23:09] - http://tdvm2.namkymui1979.asoca.vn/?mkt=1612&src=LDP.FB.VG12_vihoan_12.12
[2019-01-25 20:26:50] - http://vanmenh.quymao1963.asoca.vn/?mkt=1612&src=LDP.FB.VG12_haonvi1612_21.01
[2019-01-25 20:31:52] - http://vonggo.nam1985.asoca.vn/?mkt=1911&src=LDP.FB.VG25_vonggoall_25.1
[2019-01-25 20:48:59] - http://tdvm2.namatty1965.asoca.vn/?mkt=1911&src=LDP.FB.VG25_vonggoall_25.1
[2019-01-25 21:10:15] - http://vonggo.nam1982.asoca.vn/?mkt=1911&src=LDP.FB.VG25_vonggoall_25.1
[2019-01-25 22:14:06] - http://vonggo.nam1986.asoca.vn/?mkt=1911&src=LDP.FB.VG25_vonggoall_25.1
[2019-01-25 22:29:31] - http://vanmenh.dinhmui1967.asoca.vn/?mkt=1612&src=LDP.FB.VG12_vihoan_12.12
[2019-01-25 23:32:39] - http://tdvm2.namatty1965.asoca.vn/?mkt=1911&src=LDP.FB.VG25_vonggoall_25.1
